Timestamp,Row,Col,x,y,z,distance,IMU_x,IMU_y,IMU_z,IMU_roll,IMU_pitch,IMU_yaw,LiDAR_x,LiDAR_y,LiDAR_z,LiDAR_roll,LiDAR_pitch,LiDAR_yaw,EKF_x,EKF_y,EKF_z,EKF_roll,EKF_pitch,EKF_yaw
68672,4,7,493.52,-236.28,476.00,497,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,5,0,2169.98,794.49,106.50,2141,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,5,1,2726.21,665.73,14.34,2701,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,5,2,2746.49,350.81,18.67,2731,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,5,3,2740.90,40.54,27.32,2735,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,5,4,2720.44,-265.35,38.41,2724,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,5,5,526.02,-122.64,411.05,526,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,5,6,503.30,-177.95,416.32,505,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,5,7,497.39,-239.78,418.87,501,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,6,0,2121.03,768.93,-131.98,2093,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,6,1,2649.12,637.28,-282.15,2625,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,6,2,2710.85,336.57,-293.68,2696,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,6,3,2706.38,30.27,-285.91,2701,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,6,4,1260.83,-135.05,136.28,1261,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,6,5,522.94,-123.88,349.76,523,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,6,6,494.30,-176.79,359.18,496,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,6,7,505.19,-245.18,357.47,509,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,7,0,1457.97,518.34,-116.10,1438,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,7,1,1447.33,335.93,-108.53,1433,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
