frame,row,col,x,y,z,is_edge,is_planar
2,1,20,-1160.000000,-23.000000,2500.000000,0,0
2,1,21,-1109.000000,22.000000,2392.000000,0,0
2,1,22,-1109.000000,66.000000,2391.000000,0,0
2,1,23,-1093.000000,109.000000,2354.000000,0,0
2,1,24,-1064.000000,149.000000,2290.000000,0,0
2,1,25,-1062.000000,191.000000,2284.000000,0,0
2,1,26,-1067.000000,234.000000,2291.000000,0,0
2,1,27,-1027.000000,267.000000,2202.000000,0,0
2,1,28,-1021.000000,306.000000,2183.000000,0,0
2,1,29,-999.000000,339.000000,2131.000000,0,0
2,1,30,-999.000000,379.000000,2124.000000,0,0
2,1,31,-980.000000,411.000000,2078.000000,0,0
2,1,32,-992.000000,455.000000,2095.000000,0,0
2,1,33,-959.000000,479.000000,2018.000000,0,0
2,1,34,-950.000000,512.000000,1990.000000,0,0
2,1,35,-949.000000,550.000000,1978.000000,0,0
2,1,36,-947.000000,586.000000,1964.000000,0,0
2,1,37,-927.000000,611.000000,1912.000000,0,0
2,1,38,-910.000000,637.000000,1868.000000,0,0
2,1,39,-924.000000,683.000000,1884.000000,0,0
2,1,40,-903.000000,704.000000,1830.000000,0,0
2,1,41,-886.000000,727.000000,1784.000000,0,0
2,2,0,-887.000000,-757.000000,1874.000000,0,0
2,2,1,-903.000000,-733.000000,1921.000000,0,0
2,2,2,-959.000000,-738.000000,2053.000000,0,0
2,2,3,-941.000000,-685.000000,2027.000000,0,0
2,2,4,-942.000000,-647.000000,2041.000000,0,0
2,2,5,-973.000000,-627.000000,2118.000000,0,0
2,2,6,-1012.000000,-610.000000,2213.000000,0,0
2,2,7,-1049.000000,-589.000000,2305.000000,0,0
2,2,8,-1056.000000,-548.000000,2330.000000,0,0
2,2,9,-1070.000000,-511.000000,2370.000000,0,0
2,2,10,-1096.000000,-478.000000,2436.000000,0,0
2,2,11,-1112.000000,-439.000000,2481.000000,0,0
2,2,12,-1124.000000,-397.000000,2514.000000,0,0
2,2,13,-1136.000000,-354.000000,2547.000000,0,0
2,2,14,-1155.000000,-312.000000,2595.000000,0,0
2,2,15,-1156.000000,-264.000000,2602.000000,0,0
2,2,16,-1172.000000,-219.000000,2643.000000,0,0
2,2,17,-1150.000000,-167.000000,2598.000000,0,0
2,2,18,-1135.000000,-118.000000,2567.000000,0,0
2,2,19,-1104.000000,-69.000000,2499.000000,0,0
2,2,20,-1091.000000,-23.000000,2471.000000,0,0
2,2,21,-1067.000000,22.000000,2417.000000,0,0
2,2,22,-1048.000000,65.000000,2371.000000,0,0
2,2,23,-1029.000000,107.000000,2328.000000,0,0
2,2,24,-1014.000000,148.000000,2292.000000,0,0
2,2,25,-1026.000000,192.000000,2316.000000,0,0
2,2,26,-988.000000,226.000000,2227.000000,0,0
2,2,27,-986.000000,266.000000,2218.000000,0,0
